name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac ZT-71102-10L,NVIDIA,,1024.0,902,,146,0,2,GeForce GT 730
Zotac ZT-50206-10M,NVIDIA,,1280.0,732,,,0,0,GeForce GTX 570
Zotac ZT-90105-10P,NVIDIA,,4096.0,1050,1178,244,0,1,GeForce GTX 970
Zotac ZT-50313-10M,NVIDIA,,1280.0,765,,228,0,0,GeForce GTX 560 Ti 448
Zotac ZT-50709-10M,NVIDIA,,2048.0,820,,236,0,0,GeForce GTX 560
Zotac ZT-70702-10M,NVIDIA,,1024.0,1033,,145,0,0,GeForce GTX 750
Zotac ZT-71004-10L,NVIDIA,,2048.0,993,,144,0,0,GeForce GT 740
Zotac ZT-70502-10P,NVIDIA,,3072.0,876,928,266,0,1,GeForce GTX 780 Ti
Zotac ZT-61103-10M,NVIDIA,,2048.0,1033,,153,0,0,GeForce GTX 650 Ti
Zotac ZT-40404-10P,NVIDIA,,768.0,710,,,0,0,GeForce GTX 460
Zotac ZT-40301-10P,NVIDIA,,1024.0,607,,,0,0,GeForce GTX 465
Zotac AMP MAXX,NVIDIA,,8192.0,1350,1830,298,0,0,GeForce RTX 2080
Zotac ZT-40508-10L,NVIDIA,,1024.0,600,,170,0,0,GeForce GTS 450
Zotac ZT-60502-10L,NVIDIA,,1024.0,700,,152,0,0,GeForce GT 620
Zotac ZT-60412-10L,NVIDIA,,1024.0,700,,,0,0,GeForce GT 630
Zotac ZT-71002-10L,NVIDIA,,1024.0,993,,144,0,0,GeForce GT 740
Zotac AMP,NVIDIA,,2048.0,1189,,153,0,0,GeForce GTX 650
Zotac VCGGTX9502XPB-OC-BB,NVIDIA,,2048.0,1241,,213,0,0,GeForce GTX 950
Zotac ZT-40606-20L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac ZT-90201-10P,NVIDIA,,4096.0,1126,1216,267,0,2,GeForce GTX 980
Zotac ZT-61201-10M BOOST,NVIDIA,,2048.0,993,,153,0,2,GeForce GTX 650 Ti Boost
Zotac ZT-50105-10P,NVIDIA,,1536.0,772,,266,0,0,GeForce GTX 580
Zotac ZT-60413-10L,NVIDIA,,4096.0,700,,,0,0,GeForce GT 630
Zotac ZT-50201-10P,NVIDIA,,1280.0,732,,266,0,0,GeForce GTX 570
Zotac ZT-61008-10M,NVIDIA,,1024.0,1071,,153,0,0,GeForce GTX 650
Zotac ZT-50706-10M,NVIDIA,,1024.0,820,,203,0,1,GeForce GTX 560
Zotac ZT-50203-10M,NVIDIA,,1280.0,732,,228,0,0,GeForce GTX 570
Zotac ZT-61101-10M,NVIDIA,,1024.0,941,,153,0,0,GeForce GTX 650 Ti
Zotac ZT-50403-10L,NVIDIA,,1024.0,900,,203,0,0,GeForce GTX 550 Ti
Zotac ZT-40605-10L,NVIDIA,,512.0,700,,156,0,0,GeForce GT 430
Zotac ZT-50202-10P,NVIDIA,,1280.0,780,,266,0,0,GeForce GTX 570
Zotac AMP Omega,NVIDIA,,4096.0,1102,1241,268,0,2,GeForce GTX 970
Zotac ZT-50101-10P,NVIDIA,,1536.0,772,,266,0,0,GeForce GTX 580
Zotac ZT-60209-10L,NVIDIA,,2048.0,1046,,145,0,0,GeForce GT 640
Zotac AMP Extreme,NVIDIA,,4096.0,1291,1393,300,0,2,GeForce GTX 980
Zotac ZT-71105-10BB,NVIDIA,,2048.0,902,,146,0,0,GeForce GT 730
Zotac ZT-84GEL2M-HSL,NVIDIA,,1024.0,520,,167,0,0,GeForce 8400 GS
Zotac ZT-61011-10M,NVIDIA,,1024.0,1058,,153,0,0,GeForce GTX 650
Zotac ZT-60206-10L,NVIDIA,,2048.0,900,,144,0,0,GeForce GT 640
Zotac ZT-50702-10M,NVIDIA,,1024.0,950,,228,0,0,GeForce GTX 560
Zotac ZT-50603-10L,NVIDIA,,1024.0,810,,167,0,0,GeForce GT 520
Zotac ZT-40704-10L,NVIDIA,,1024.0,810,,,0,0,GeForce GT 440
Zotac ZT-60101-10P,NVIDIA,,2048.0,1006,,266,0,0,GeForce GTX 680
Zotac AMP,NVIDIA,,3072.0,1006,1059,276,0,3,GeForce GTX 780
Zotac ZT-50303-10M,NVIDIA,,1024.0,850,,,0,0,GeForce GTX 560 Ti
Zotac ZT-60404-10L,NVIDIA,,1024.0,810,,144,0,0,GeForce GT 630
Zotac ZT-60304-10P,NVIDIA,,2048.0,954,,254,0,0,GeForce GTX 670
Zotac ZT-60207-20L,NVIDIA,,2048.0,900,,,0,0,GeForce GT 640
Zotac ZT-20106-10P,NVIDIA,,1024.0,,,,0,0,GeForce GTS 250
Zotac ZT-84MEH4M-HSL,NVIDIA,,512.0,567,,,0,0,GeForce 8400 GS
Zotac ZT-40701-10L,NVIDIA,,512.0,810,,144,0,0,GeForce GT 440
Zotac ZT-71114-20L,NVIDIA,,1024.0,902,,,0,0,GeForce GT 730
Zotac ZT-40201-10P,NVIDIA,,1280.0,607,,,0,0,GeForce GTX 470
Zotac ZT-40202-10P,NVIDIA,,1280.0,656,,241,0,0,GeForce GTX 470
Zotac ZT-40402-10P,NVIDIA,,1024.0,675,,209,0,0,GeForce GTX 460
Zotac AMP,NVIDIA,,2048.0,1033,,191,0,0,GeForce GTX 660 Ti
Zotac ZT-50708-10M,NVIDIA,,1024.0,820,,236,0,0,GeForce GTX 560
Zotac ZT-71003-10L,NVIDIA,,1024.0,993,,149,0,0,GeForce GT 740
Zotac ZT-71103-10L,NVIDIA,,2048.0,700,,,0,0,GeForce GT 730
Zotac ZT-70201-10P,NVIDIA,,3072.0,863,,266,0,1,GeForce GTX 780
Zotac ZONE,NVIDIA,,1024.0,1033,1111,,0,0,GeForce GTX 750
Zotac ZT-60301-10P,NVIDIA,,2048.0,915,,240,0,0,GeForce GTX 670
Zotac ZT-50602-20L,NVIDIA,,1024.0,810,,144,0,0,GeForce GT 520
Zotac ZT-70301-10P,NVIDIA,,2048.0,1059,,266,0,2,GeForce GTX 770
Zotac ZT-50703-10M,NVIDIA,,1024.0,860,,228,0,1,GeForce GTX 560
Zotac ZT-50705-10M,NVIDIA,,2048.0,820,,209,0,0,GeForce GTX 560
Zotac ZT-60102-10P,NVIDIA,,2048.0,1098,,254,0,1,GeForce GTX 680
Zotac ZT-40403-10P,NVIDIA,,1024.0,810,,209,0,0,GeForce GTX 460
Zotac ZT-50601-10L,NVIDIA,,1024.0,810,,167,0,0,GeForce GT 520
Zotac ZT-50605-10L,NVIDIA,,2048.0,810,,144,0,0,GeForce GT 520
Zotac ZT-50302-10M,NVIDIA,,1024.0,950,,228,0,1,GeForce GTX 560 Ti
Zotac ZT-50301-10M,NVIDIA,,1024.0,822,,209,0,2,GeForce GTX 560 Ti
Zotac ZT-40708-10L,NVIDIA,,1024.0,810,,144,0,0,GeForce GT 440
Zotac ZT-90602-10M,NVIDIA,,2048.0,1102,1279,283,0,0,GeForce GTX 950
Zotac ZT-60204-20L,NVIDIA,,2048.0,900,,144,0,0,GeForce GT 640
Zotac ZT-50102-10P,NVIDIA,,1536.0,815,,266,0,0,GeForce GTX 580
Zotac ZT-40601-20L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac ZT-50610-10L,NVIDIA,,512.0,810,,167,0,0,GeForce GT 520
Zotac ZT-40607-10L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac ZT-61107-10M,NVIDIA,,2048.0,928,,153,0,2,GeForce GTX 650 Ti
Zotac ZT-60409-20L,NVIDIA,,2048.0,902,,145,0,0,GeForce GT 630
Zotac ZT-60408-20L,NVIDIA,,1024.0,902,,145,0,0,GeForce GT 630
Zotac ZT-50106-10P,NVIDIA,,1536.0,815,,266,0,0,GeForce GTX 580
Zotac ArcticStorm,NVIDIA,,6144.0,1025,1114,316,0,0,GeForce GTX 980 Ti
Zotac ZT-60201-10L,NVIDIA,,2048.0,900,,144,0,0,GeForce GT 640
Zotac ZT-40408-10P,NVIDIA,,1024.0,720,,209,0,0,GeForce GTX 460
Zotac ZT-40703-10L,NVIDIA,,1024.0,810,,144,0,0,GeForce GT 440
Zotac ZT-40604-10L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac ZT-70304-10P,NVIDIA,,4096.0,1059,,266,0,0,GeForce GTX 770
Zotac AMP,NVIDIA,,3072.0,1006,1072,276,0,1,GeForce GTX 780 Ti
Zotac ZT-71104-10L,NVIDIA,,1024.0,700,,,0,0,GeForce GT 730
