name,parent_brand,price,memory,core_clock,core_boost_clock,length,user_score,user_ratings_count,chipset
Zotac GAMING AMP Holo,NVIDIA,559.0,8192.0,1500,1785,291,0,3,GeForce RTX 3070
Zotac AMP,NVIDIA,3358.0,11264.0,1569,1683,300,0,8,GeForce GTX 1080 Ti
Zotac AMP Core,NVIDIA,,4096.0,1410,1650,162,0,0,GeForce GTX 1650 G6
Zotac GAMING,NVIDIA,,6144.0,1365,1680,210,0,7,GeForce RTX 2060
Zotac GAMING AMP Holo,NVIDIA,1039.0,12288.0,1365,1710,318,0,1,GeForce RTX 3080 Ti
Zotac MINI,NVIDIA,,8192.0,1518,1708,210,0,23,GeForce GTX 1070
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1320,1777,224,0,0,GeForce RTX 3060 8GB
Zotac GAMING AMP Extreme AIRO,NVIDIA,1075.0,12288.0,2310,2700,356,0,1,GeForce RTX 4070 Ti
Zotac GAMING,NVIDIA,564.29,8192.0,1575,1770,318,0,1,GeForce RTX 3070 Ti
Zotac GAMING AMP Spider-Man: Across the Spider-Verse,NVIDIA,,16384.0,2310,2595,226,0,2,GeForce RTX 4060 Ti
Zotac MINI,NVIDIA,,6144.0,1506,1708,174,0,30,GeForce GTX 1060 6GB
Zotac GAMING Twin Edge OC,NVIDIA,399.99,8192.0,1550,1807,224,0,1,GeForce RTX 3050 8GB
Zotac GAMING Twin Fan,NVIDIA,,8192.0,1605,1770,268,0,4,GeForce RTX 2070 SUPER
Zotac GAMING,NVIDIA,,4096.0,1740,1785,151,0,0,GeForce GTX 1630
Zotac GAMING Trinity,NVIDIA,739.0,10240.0,1440,1710,318,0,3,GeForce RTX 3080 10GB
Zotac GAMING OC,NVIDIA,259.99,4096.0,1410,1620,151,0,0,GeForce GTX 1650 G6
Zotac AMP,NVIDIA,,8192.0,1607,1797,300,0,14,GeForce GTX 1070
Zotac ZT-P10300A-10L,NVIDIA,106.74,2048.0,1227,1468,173,0,1,GeForce GT 1030
Zotac GAMING Trinity OC,NVIDIA,1049.0,12288.0,1260,1725,318,0,2,GeForce RTX 3080 12GB LHR
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1410,1665,232,0,0,GeForce RTX 3060 Ti
Zotac GAMING AMP,NVIDIA,,11264.0,1350,1665,308,0,5,GeForce RTX 2080 Ti
Zotac Twin Edge OC,NVIDIA,,8192.0,1500,1755,232,0,2,GeForce RTX 3070
Zotac GAMING Trinity,NVIDIA,738.85,12288.0,1920,2475,307,0,0,GeForce RTX 4070
Zotac GAMING Trinity,NVIDIA,,24576.0,2235,2520,356,0,1,GeForce RTX 4090
Zotac GAMING Trinity OC,NVIDIA,,24576.0,2235,2535,356,0,0,GeForce RTX 4090
Zotac GAMING AMP Extreme AIRO,NVIDIA,,24576.0,2235,2580,356,0,1,GeForce RTX 4090
Zotac AMP,NVIDIA,,8192.0,1683,1822,300,0,12,GeForce GTX 1080
Zotac GAMING Twin Edge OC,NVIDIA,549.0,8192.0,1500,1755,232,0,2,GeForce RTX 3070 LHR
Zotac ZT-71310-10L,NVIDIA,,2048.0,954,,157,0,0,GeForce GT 710
Zotac AMP Extreme,NVIDIA,,11264.0,1645,1759,325,0,3,GeForce GTX 1080 Ti
Zotac GAMING AMP,NVIDIA,,6144.0,1365,1800,210,0,16,GeForce RTX 2060
Zotac MINI,NVIDIA,,8192.0,1607,1683,211,0,13,GeForce GTX 1070 Ti
Zotac GAMING Twin Edge,NVIDIA,,8192.0,1500,1725,232,0,2,GeForce RTX 3070
Zotac MINI,NVIDIA,,8192.0,1620,1759,211,0,11,GeForce GTX 1080
Zotac GAMING AMP Holo,NVIDIA,1299.0,10240.0,1440,1770,318,0,4,GeForce RTX 3080 10GB
Zotac GAMING Twin Fan,NVIDIA,,12288.0,1470,1650,210,0,0,GeForce RTX 2060 12GB
Zotac GAMING AMP,NVIDIA,,8192.0,1515,,308,0,4,GeForce RTX 2080
Zotac GAMING Trinity,NVIDIA,,12288.0,1365,1665,318,0,0,GeForce RTX 3080 Ti
Zotac GAMING AMP Core Holo,NVIDIA,1269.0,24576.0,1395,1755,328,0,0,GeForce RTX 3090
Zotac GAMING Twin Edge OC Spider-Man: Across the Spider-Verse,NVIDIA,,12288.0,1920,2490,226,0,0,GeForce RTX 4070
Zotac ZT-40602-10L,NVIDIA,,1024.0,700,,144,0,0,GeForce GT 430
Zotac GAMING Trinity,NVIDIA,,12288.0,2310,2610,307,0,1,GeForce RTX 4070 Ti
Zotac GAMING SOLO,NVIDIA,273.24,8192.0,1550,1777,168,0,0,GeForce RTX 3050 8GB
Zotac MINI,NVIDIA,,3072.0,1506,1708,174,0,10,GeForce GTX 1060 3GB
Zotac ZT-P10510B-10L,NVIDIA,,4096.0,1392,1506,174,0,20,GeForce GTX 1050 Ti
Zotac GAMING Twin Edge OC Spider-Man: Across the Spider-Verse,NVIDIA,,8192.0,2310,2550,226,0,0,GeForce RTX 4060 Ti
Zotac GAMING Twin Edge OC,NVIDIA,,8192.0,1410,1695,232,0,0,GeForce RTX 3060 Ti
Zotac ZT-P10620A-10M,NVIDIA,,6144.0,1506,1708,211,0,12,GeForce GTX 1060 6GB
Zotac MINI,NVIDIA,,11264.0,1506,1620,211,0,9,GeForce GTX 1080 Ti
Zotac GAMING SOLID,NVIDIA,,16384.0,2340,2610,336,0,0,GeForce RTX 4070 Ti SUPER
